beijing,北京
tianjin,天津
shenyang,沈阳
dalian,大连
changchun,长春
haerbin,哈尔滨
shijiazhuang,石家庄
taiyuan,太原
huhehaote,呼和浩特
langfang,廊坊
shanghai,上海
hangzhou,杭州
nanjing,南京
suzhou,苏州
wuxi,无锡
jinan,济南
xiamen,厦门
ningbo,宁波
fuzhou,福州
qingdao,青岛
hefei,合肥
changzhou,常州
yangzhou,扬州
wenzhou,温州
shaoxing,绍兴
jiaxing,嘉兴
yantai,烟台
weihai,威海
zhengjiang,镇江
nantong,南通
jinhua,金华
xuzhou,徐州
weifang,潍坊
zibo,淄博
linyi,临沂
maanshan,马鞍山
zhejiangtaizhou,台州
taizhou,泰州
jining,济宁
taian,泰安
chengdu,成都
wuhan,武汉
zhengzhou,郑州
changsha,长沙
nanchang,南昌
guiyang,贵阳
xining,西宁
chongqing,重庆
xian,西安
kunming,昆明
lanzhou,兰州
wulumuqi,乌鲁木齐
yinchuan,银川
guangzhou,广州
shenzhen,深圳
foshan,佛山
zhuhai,珠海
dongguan,东莞
sanya,三亚
haikou,海口
nanning,南宁
huizhou,惠州
